TARİH;İKRAM
28.04.2026;Patlıcanlı Rulo Börek
29.04.2026;Tereyağlı Kruvasan
30.04.2026;Tarçınlı Kremalı Rulo Börek
1.05.2026;Patlıcanlı Rulo Börek 
2.05.2026;Tereyağlı Kruvasan
3.05.2026;Üzümlü Çörek
4.05.2026;Çikolata Dolgulu Kruvasan
5.05.2026;Tarhana Çorba
6.05.2026;Tarçınlı Kremalı Rulo Börek 
7.05.2026;Balkan Çöreği
8.05.2026;Ispanaklı Rulo Börek 
9.05.2026;İki Peynirli Çörek 
10.05.2026;Tereyağlı Kruvasan
11.05.2026;Vanilya Dolgulu Kruvasan
12.05.2026;Ezogelin Çorba
13.05.2026;Peynirli Rulo Börek 
14.05.2026;Çikolata Dolgulu Kruvasan
15.05.2026;Patatesli Rulo Börek 
16.05.2026;Balkan Çöreği
17.05.2026;Peynirli Rulo Börek 
18.05.2026;Çikolata Dolgulu Kruvasan
19.05.2026;Patlıcanlı Rulo Börek 
20.05.2026;Choc Almıghty Donut
21.05.2026;Mercimek Çorba
22.05.2026;Balkan Çöreği
23.05.2026;Ispanaklı Rulo Börek 
24.05.2026;Tereyağlı Kruvasan
25.05.2026;Tarçınlı Kremalı Rulo Börek 
26.05.2026;Peynirli Rulo Börek 
27.05.2026;Çikolata Dolgulu Kruvasan
28.05.2026;Patatesli Rulo Börek 
29.05.2026;Tereyağlı Kruvasan
30.05.2026;Ispanaklı Rulo Börek 
31.05.2026;Patlıcanlı Rulo Börek 
