TARİH;ÇORBA;BÖREK/YUMURTA;PEYNİR;ZEYTİN;PİKNİK ÜRÜN;TEREYAĞ;DOMATES/SALATALIK
28.04.2026;DOMATES ÇORBA;PEYNİRLİ KEK;LABNE;YEŞİL ZEYTİN;BAL;TEREYAĞI;DOMATES/SALATALIK
29.04.2026;MERCİMEK ÇORBA;BÖREK;TULUM PEYNİR;SİYAH ZEYTİN;ŞOKELLA;TEREYAĞI;DOMATES/SALATALIK
30.04.2026;TARHANA ÇORBA;FIRIN PATATES;KAŞAR PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞI;ÇEMEN
1.05.2026;MERCİMEK ÇORBA;PEYNİRLİ KEK;BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞI;ÇEMEN
2.05.2026;YOĞURTLU BULGUR ÇORBA;BÖREK;TULUM PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞI;DOMATES/SALATALIK
3.05.2026;SEBZE ÇORBA;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;SİYAH ZEYTİN;ŞOKELLA;TEREYAĞI;DOMATES/SALATALIK
4.05.2026;EZOGELİN ÇORBA;FIRIN PATATES;LABNE;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞI;ÇEMEN
5.05.2026;BROKOLİ ÇORBA;BÖREK;BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞI;DOMATES/SALATALIK
6.05.2026;MERCİMEK ÇORBA;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞI;DOMATES/SALATALIK
7.05.2026;TAVUKSUYU ÇORBA;HAŞLANMIŞ PATATES;MAYDANOZLU BEYAZ PEYNİR;SİYAH ZEYTİN;ŞOKELLA;TEREYAĞI;ÇEMEN
8.05.2026;SEBZE ÇORBA;PEYNİRLİ KEK;LABNE;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞI;DOMATES/SALATALIK
9.05.2026;YAYLA ÇORBA;BÖREK;KAŞAR PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞI;DOMATES/SALATALIK
10.05.2026;DOMATES ÇORBA;HAŞLANMIŞ YUMURTA;TULUM PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞI;ÇEMEN
11.05.2026;TAVUKSUYU ÇORBA;FIRIN PATATES;LABNE;SİYAH ZEYTİN;ŞOKELLA;TEREYAĞI;DOMATES/SALATALIK
12.05.2026;TARHANA ÇORBA;BÖREK;BEYAZ PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞI;DOMATES/SALATALIK
13.05.2026;EZOGELİN ÇORBA;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞI;ÇEMEN
14.05.2026;DOMATESLİ ŞEHRİYE ÇORBA;HAŞLANMIŞ PATATES;MAYDANOZLU BEYAZ PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞI;DOMATES/SALATALIK
15.05.2026;MERCİMEK ÇORBA;PEYNİRLİ KEK;LABNE;SİYAH ZEYTİN;ŞOKELLA;TEREYAĞI;DOMATES/SALATALIK
16.05.2026;MAHLUTA ÇORBA;BÖREK;TULUM PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞI;ÇEMEN
17.05.2026;YAYLA ÇORBA;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞI;DOMATES/SALATALIK
18.05.2026;TAVUKSUYU ÇORBA;FIRIN PATATES;BEYAZ PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞI;DOMATES/SALATALIK
19.05.2026;SEBZE ÇORBA;BÖREK;LABNE;SİYAH ZEYTİN;ŞOKELLA;TEREYAĞI;ÇEMEN
20.05.2026;EZOGELİN ÇORBA;HAŞLANMIŞ YUMURTA;MAYDANOZLU BEYAZ PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞI;DOMATES/SALATALIK
21.05.2026;TOYGA ÇORBA;HAŞLANMIŞ PATATES;KAŞAR PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞI;DOMATES/SALATALIK
22.05.2026;MERCİMEK ÇORBA;PEYNİRLİ KEK;LABNE;YEŞİL ZEYTİN;BAL;TEREYAĞI;ÇEMEN
23.05.2026;SEBZE ÇORBA;BÖREK;TULUM PEYNİR;SİYAH ZEYTİN;ŞOKELLA;TEREYAĞI;DOMATES/SALATALIK
24.05.2026;TUTMAÇ ÇORBA;FIRIN PATATES;KAŞAR PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞI;DOMATES/SALATALIK
25.05.2026;EZOGELİN ÇORBA;HAŞLANMIŞ PATATES;BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞI;ÇEMEN
26.05.2026;TARHANA ÇORBA;PEYNİRLİ KEK;MAYDANOZLU BEYAZ PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞI;DOMATES/SALATALIK
27.05.2026;MERCİMEK ÇORBA;BÖREK;TULUM PEYNİR;SİYAH ZEYTİN;ŞOKELLA;TEREYAĞI;DOMATES/SALATALIK
28.05.2026;EZOGELİN ÇORBA;FIRIN PATATES;KAŞAR PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞI;ÇEMEN
29.05.2026;DOMATESLİ ŞEHRİYE ÇORBA;HAŞLANMIŞ YUMURTA;BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞI;DOMATES/SALATALIK
30.05.2026;ALACA ÇORBA;PEYNİRLİ KEK;LABNE;YEŞİL ZEYTİN;BAL;TEREYAĞI;DOMATES/SALATALIK
31.05.2026;SEBZE ÇORBA;BÖREK;MAYDANOZLU BEYAZ PEYNİR;SİYAH ZEYTİN;ŞOKELLA;TEREYAĞI;ÇEMEN
