VESTEL MAYIS AYI YEMEK MENÜSÜ;;;;;;;;;;;;;;;;;
TARİH;ÇORBA;;ANA YEMEK;;YARDIMCI YEMEK;;TATLI/MEYVE;;MEŞRUBAT;; SALATA;;MEZE;;MEZE;;YOĞURT/CACIK
1 Mayıs 2026 Cuma;MERCİMEK ÇORBA;120;KIYMALI PATLICAN MUSAKKA;399;SADE PİLAV;189;MEYVE;100;;;ROKALI GÖBEK SALATA;70;FASULYE PİYAZ;110;BROKOLİ;83;CACIK
2 Mayıs 2026 Cumartesi;YOĞURTLU BULGUR ÇORBA;119;GİRİT USULÜ TAVUK (SOR);416;DOMATES SOSLU MAKARNA;270;ŞEKERPARE;490;MEŞRUBAT;PAKET;MEVSİM SALATA;50;BAKLA FAVA;61;ISPANAK;68;YOĞURT
3 Mayıs 2026 Pazar;SEBZE ÇORBA;135;KAŞARLI KÖFTE;273;BULGUR PİLAVI;237;SÜTLAÇ;142;MEŞRUBAT;PAKET;BAHÇE SALATA;83;HAVUÇ TARATOR;158;KABAK KALYE;64;YOĞURT
4 Mayıs 2026 Pazartesi;EZOGELİN ÇORBA;68;ÇITIR PİLİÇ PANE;618;TEREYAĞLI SPAGETTİ;314;MEYVE;100;MEŞRUBAT;PAKET;MEVSİM SALATA;50;KISIR;170;TAZE FASULYE;51;YOĞURT
5 Mayıs 2026 Salı;BROKOLİ ÇORBA;100;TEREYAĞLI İSKENDER;736;İRİ BULGUR PİLAVI;237;ÇİLEKLİ ŞARLOT;177;MEŞRUBAT;PAKET;ROKALI GÖBEK SALATA;70;SEBZELİ MAKARNA;176;BÖRÜLCE EKŞİLEME;69;YOĞURT
6 Mayıs 2026 Çarşamba;MERCİMEK ÇORBA;120;KIYMALI MENGEN MUSAKKA;525;ERİŞTE ;190;MEYVE;100;AYRAN;PAKET;BAHÇE SALATA;83;NOHUT SALATA;240;KARNABAHAR;47;YOĞURT
7 Mayıs 2026 Perşembe;TAVUKSUYU ÇORBA;142;GEMİCİ USULÜ KURU FASULYE;150;ŞEHRİYELİ PİLAV;218;REVANİ;420;;;MARUL SALATA;15;MERCİMEK KÖFTE;162;KARIŞIK TURŞU;18;CACIK
8 Mayıs 2026 Cuma;SEBZE ÇORBA;135;PİLİÇ BUT ROTİ;527;SADE PİLAV;189;MEYVE;100;MEŞRUBAT;PAKET;ROKALI GÖBEK SALATA;70;NURANİYE YOĞURTLAMA;65;KEREVİZ;59;YOĞURT
9 Mayıs 2026 Cumartesi;YAYLA ÇORBA;153;İZMİR KÖFTE;409;TEL ŞEHRİYELİ BULGUR PİLAVI;261;MEYVE;100;MEŞRUBAT;PAKET;MEVSİM SALATA;50;YEŞİL MERCİMEK SALATASI;93;BEZELYE;109;YOĞURT
10 Mayıs 2026 Pazar;DOMATES ÇORBA;135;MASALA SOSLU TAVUK;342;TEREYAĞLI MAKARNA;314;BURÇAKLI MUHALLEBİ;157;MEŞRUBAT;PAKET;BAHÇE SALATA;83;PEMBE SULTAN;52;PENDİK PİLAKİ;151;YOĞURT
11 Mayıs 2026 Pazartesi;TAVUKSUYU ÇORBA;142;DOMATESLİ BEZELYE ;101;SADE PİLAV;189;KREM ŞOKELLA;197;;;ROKALI GÖBEK SALATA;70;KISIR;170;KARIŞIK TURŞU;18;CACIK
12 Mayıs 2026 Salı;TARHANA ÇORBA;91;PİZZA;659;PATATES KIZARTMASI;260;TİRELİÇE;264;MEŞRUBAT;PAKET;BAHÇE SALATA;83;YOĞURTLU MAKARNA;126;ISPANAK;68;YOĞURT
13 Mayıs 2026 Çarşamba;EZOGELİN ÇORBA;68;TOKAT KÖFTE(yeni yemek);422;BULGUR PİLAVI;237;MEYVE;100;AYRAN;PAKET;MEVSİM SALATA;50;SEBZELİ MAKARNA;176;BROKOLİ;83;YOĞURT
14 Mayıs 2026 Perşembe;DOMATESLİ ŞEHRİYE ÇORBA;175;PİLİÇ HAŞLAMA;379;TEREYAĞLI MAKARNA;314;MEYVE;100;MEŞRUBAT;PAKET;MARUL SALATA;15;MERCİMEK KÖFTE;162;PANCAR TURŞU;110;YOĞURT
15 Mayıs 2026 Cuma;MERCİMEK ÇORBA;120;ÇİFTLİK KEBABI;530;SADE PİLAV;189;KIBRIS TATLISI;360;;;MEVSİM SALATA;50;BAKLA FAVA;61;KARNABAHAR;47;CACIK
