TARİH;ÇORBA;ANA YEMEK;YARDIMCI YEMEK;MEZE;ZEYTİNYAĞLI; SALATA;YOĞURT/CACIK;MEŞRUBAT;MEYVE/TATLI
28.04.2026;DOMATES ÇORBA;MANİSA USULÜ NOHUT;SADE PİLAV;KISIR;KARIŞIK TURŞU;MEVSİM SALATA;CACIK;;ŞAMBALİ
29.04.2026;MERCİMEK ÇORBA;SOSLU ET DÖNER;TEL ŞEHRİYELİ BULGUR PİLAVI;PATATES SALATASI;BÖRÜLCE EKŞİLEME;ROKALI GÖBEK SALATA;YOĞURT ;MEŞRUBAT;MEYVE
30.04.2026;TARHANA ÇORBA;AKDENİZ USULÜ YEŞİL MERCİMEK;TAVUKLU PİLAV;ÇİĞ KÖFTE;KEREVİZ;MARUL SALATA;YOĞURT ;AYRAN;BROWNİE
1.05.2026;MERCİMEK ÇORBA;KIYMALI PATLICAN MUSAKKA;SADE PİLAV;MEYVE;;ROKALI GÖBEK SALATA;FASULYE PİYAZ;BROKOLİ;CACIK
2.05.2026;YOĞURTLU BULGUR ÇORBA;GİRİT USULÜ TAVUK;DOMATES SOSLU MAKARNA;ŞEKERPARE;MEŞRUBAT;MEVSİM SALATA;BAKLA FAVA;ISPANAK;YOĞURT
3.05.2026;SEBZE ÇORBA;KAŞARLI KÖFTE;BULGUR PİLAVI;SÜTLAÇ;MEŞRUBAT;BAHÇE SALATA;HAVUÇ TARATOR;KABAK KALYE;YOĞURT
4.05.2026;EZOGELİN ÇORBA;ÇITIR PİLİÇ PANE;TEREYAĞLI SPAGETTİ;MEYVE;MEŞRUBAT;MEVSİM SALATA;KISIR;TAZE FASULYE;YOĞURT
5.05.2026;BROKOLİ ÇORBA;TEREYAĞLI İSKENDER;İRİ BULGUR PİLAVI;ÇİLEKLİ ŞARLOT;MEŞRUBAT;ROKALI GÖBEK SALATA;SEBZELİ MAKARNA;BÖRÜLCE EKŞİLEME;YOĞURT
6.05.2026;MERCİMEK ÇORBA;KIYMALI MENGEN MUSAKKA;ERİŞTE ;MEYVE;AYRAN;BAHÇE SALATA;NOHUT SALATA;KARNABAHAR;YOĞURT
7.05.2026;TAVUKSUYU ÇORBA;GEMİCİ USULÜ KURU FASULYE;ŞEHRİYELİ PİLAV;REVANİ;;MARUL SALATA;MERCİMEK KÖFTE;KARIŞIK TURŞU;CACIK
8.05.2026;SEBZE ÇORBA;PİLİÇ BUT ROTİ;SADE PİLAV;MEYVE;MEŞRUBAT;ROKALI GÖBEK SALATA;NURANİYE YOĞURTLAMA;KEREVİZ;YOĞURT
9.05.2026;YAYLA ÇORBA;İZMİR KÖFTE;TEL ŞEHRİYELİ BULGUR PİLAVI;MEYVE;MEŞRUBAT;MEVSİM SALATA;YEŞİL MERCİMEK SALATASI;BEZELYE;YOĞURT
10.05.2026;DOMATES ÇORBA;MASALA SOSLU TAVUK;TEREYAĞLI MAKARNA;BURÇAKLI MUHALLEBİ;MEŞRUBAT;BAHÇE SALATA;PEMBE SULTAN;PENDİK PİLAKİ;YOĞURT
11.05.2026;TAVUKSUYU ÇORBA;DOMATESLİ BEZELYE;SADE PİLAV;KREM ŞOKELLA;;ROKALI GÖBEK SALATA;KISIR;KARIŞIK TURŞU;CACIK
12.05.2026;TARHANA ÇORBA;PİZZA;PATATES KIZARTMASI;TİRELİÇE;MEŞRUBAT;BAHÇE SALATA;YOĞURTLU MAKARNA;ISPANAK;YOĞURT
13.05.2026;EZOGELİN ÇORBA;TOKAT KÖFTE(yeni yemek);BULGUR PİLAVI;MEYVE;AYRAN;MEVSİM SALATA;SEBZELİ MAKARNA;BROKOLİ;YOĞURT
14.05.2026;DOMATESLİ ŞEHRİYE ÇORBA;PİLİÇ HAŞLAMA;TEREYAĞLI MAKARNA;MEYVE;MEŞRUBAT;MARUL SALATA;MERCİMEK KÖFTE;PANCAR TURŞU;YOĞURT
15.05.2026;MERCİMEK ÇORBA;ÇİFTLİK KEBABI;SADE PİLAV;KIBRIS TATLISI;;MEVSİM SALATA;BAKLA FAVA;KARNABAHAR;CACIK
16.05.2026;MAHLUTA ÇORBA;PÜRELİ TAVUK SOTE;ERİŞTE ;MEYVE;MEŞRUBAT;BAHÇE SALATA;KURU BÖRÜLCE SALATASI;KEREVİZ;YOĞURT
17.05.2026;YAYLA ÇORBA;ORMAN KEBABI;BULGUR PİLAVI;AKDENİZ GÜLÜ;MEŞRUBAT;ROKALI GÖBEK SALATA;YOĞURTLU MAKARNA;KABAK KALYE;YOĞURT
18.05.2026;TAVUKSUYU ÇORBA;GEMİCİ USULÜ KURU FASULYE;SADE PİLAV;KADAYIFLI MUHALLEBİ;;MEVSİM SALATA;PATATES SALATASI;KARIŞIK TURŞU;CACIK
19.05.2026;SEBZE ÇORBA;SOSLU ET DÖNER;ŞEHRİYELİ PİLAV;MEYVE;MEŞRUBAT;ROKALI GÖBEK SALATA;NOHUT SALATA;BÖRÜLCE EKŞİLEME;YOĞURT
20.05.2026;EZOGELİN ÇORBA;DOMATESLİ TAZE FASULYE;FIRIN MAKARNA;KEMALPAŞA TATLISI;AYRAN;MARUL SALATA;ÇİĞ KÖFTE;KARIŞIK KIZARTMA;YOĞURT
21.05.2026;TOYGA ÇORBA;GORDON BLUE (püre);PESTO SOSLU MAKARNA(yeni);MEYVE;MEŞRUBAT;BAHÇE SALATA;HUMUS;ISPANAK;YOĞURT
22.05.2026;MERCİMEK ÇORBA;HASANPAŞA KÖFTE(yeni yemek);İRİ BULGUR PİLAVI;SUPANGLE;;MEVSİM SALATA;SEBZELİ MAKARNA;PENDİK PLAKİ;CACIK
23.05.2026;SEBZE ÇORBA;PATLICAN KEBAB;SADE PİLAV;MEYVE;MEŞRUBAT;BAHÇE SALATA;BAKLA FAVA;BEZELYE;YOĞURT
24.05.2026;TUTMAÇ ÇORBA;ABANT USULÜ PİLİÇ;SPAGETTİ NAPOLİTEN;TEPSİ MUHALLEBİ;MEŞRUBAT;ROKALI GÖBEK SALATA;YOĞURTLU BUĞDAY SALATA;KABAK KALYE;YOĞURT
25.05.2026;EZOGELİN ÇORBA;MANİSA USULÜ NOHUT;SADE PİLAV;ŞAMBALİ;;BAHÇE SALATA;KARIŞIK KIZARTMA;KARIŞIK TURŞU;CACIK
26.05.2026;TARHANA ÇORBA;TAVUK DÖNER;ŞEHRİYELİ PİLAV;MEYVE;MEŞRUBAT;MEVSİM SALATA;KISIR;TAZE FASULYE;YOĞURT
27.05.2026;MERCİMEK ÇORBA;ÇOBAN KAVURMA;TEL ŞEHRİYELİ BULGUR PİLAVI;CEVİZLİ BAKLAVA;MEŞRUBAT;ROKALI GÖBEK SALATA;PATATES SALATASI;BÖRÜLCE EKŞİLEME;YOĞURT
28.05.2026;EZOGELİN ÇORBA;KIYMALI PATATES GRATEN;DOMATES SOSLU MAKARNA;MEYVE;AYRAN;MARUL SALATA;PANCAR TURŞUSU;KABAK KALYE;YOĞURT
29.05.2026;DOMATESLİ ŞEHRİYE ÇORBA;AKDENİZ USULÜ YEŞİL MERCİMEK;KIYMALI FIRIN MAKARNA;PEYNİR TATLISI;;BAHÇE SALATA;SEBZELİ MAKARNA;KEREVİZ;CACIK
30.05.2026;ALACA ÇORBA;SOYA SOSLU TAVUK;TEREYAĞLI MAKARNA;MEYVE;MEŞRUBAT;MEVSİM SALATA;KABAK TARATOR;BROKOLİ;YOĞURT
31.05.2026;SEBZE ÇORBA;TEKİRDAĞ KÖFTE;BULGUR PİLAVI;MUZLU PUDİNG;MEŞRUBAT;ROKALI GÖBEK SALATA;BAKLA FAVA;BEZELYE;YOĞURT
