TARİH;ÇORBA;BÖREK/PATATES;YUMURTA;PEYNİR;ZEYTİN;PİKNİK ÜRÜN;TEREYAĞI;ŞOKELLA;DOMATES/SALATALIK
28.04.2026;DOMATES ÇORBA;PEYNİRLİ KEK;HAŞLANMIŞ YUMURTA;LABNE;YEŞİL ZEYTİN;BAL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
29.04.2026;MERCİMEK ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;TULUM PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
30.04.2026;TARHANA ÇORBA;FIRIN PATATES;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞ;ŞOKELLA;ÇEMEN
1.05.2026;MERCİMEK ÇORBA;PEYNİRLİ KEK;HAŞLANMIŞ YUMURTA;BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;ÇEMEN
2.05.2026;YOĞURTLU BULGUR ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;TULUM PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
3.05.2026;SEBZE ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
4.05.2026;EZOGELİN ÇORBA;FIRIN PATATES;HAŞLANMIŞ YUMURTA;LABNE;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞ;ŞOKELLA;ÇEMEN
5.05.2026;BROKOLİ ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
6.05.2026;MERCİMEK ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
7.05.2026;TAVUKSUYU ÇORBA;HAŞLANMIŞ PATATES;HAŞLANMIŞ YUMURTA;MAYDANOZLU BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;ÇEMEN
8.05.2026;SEBZE ÇORBA;PEYNİRLİ KEK;HAŞLANMIŞ YUMURTA;LABNE;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
9.05.2026;YAYLA ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
10.05.2026;DOMATES ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;TULUM PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞ;ŞOKELLA;ÇEMEN
11.05.2026;TAVUKSUYU ÇORBA;FIRIN PATATES;HAŞLANMIŞ YUMURTA;LABNE;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
12.05.2026;TARHANA ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;BEYAZ PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
13.05.2026;EZOGELİN ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;ÇEMEN
14.05.2026;DOMATESLİ ŞEHRİYE ÇORBA;HAŞLANMIŞ PATATES;HAŞLANMIŞ YUMURTA;MAYDANOZLU BEYAZ PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
15.05.2026;MERCİMEK ÇORBA;PEYNİRLİ KEK;HAŞLANMIŞ YUMURTA;LABNE;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
16.05.2026;MAHLUTA ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;TULUM PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞ;ŞOKELLA;ÇEMEN
